time,symbol,price,size,notional,side,spot,delta,gamma,vega,theta,volatility
2026-06-24T16:21:54.106000,.INTC260731C127,20.17,20,40340.0,sell,134.6283,0.6341971961248134,0.00901074772277669,16.155596203192687,-77.13462029649055,
2026-06-24T16:21:54.761000,.SLV270319P45,3.13,245,76685.0,sell,53.0586,-0.253661067443828,0.01842817852592653,14.547110882891602,-3.7871090731418664,
2026-06-24T16:21:54.857000,.ASTS260717P75,9.95,32,31840.0,sell,69.865,-0.5651670186727488,0.022830236929043204,6.925814949592962,-53.49058233379713,
2026-06-24T16:21:55.144000,.SPCX270617C105,70.56,5,35280.0,sell,158.3504,0.8228744829009784,0.0022316858674385903,40.74181583160901,-15.405780781947845,
2026-06-24T16:21:55.157000,.WDC281215C740,337.0,1,33700.0,buy,644.3196,0.7485700706795955,0.00032490777100314,323.9877343242845,-63.04173789055602,
2026-06-24T16:21:55.204000,.AAPL270617C300,36.55,7,25585.0,buy,297.9463,0.5570056639070097,0.004189959200771803,116.81382686416694,-18.96053552296178,
2026-06-24T16:21:55.206000,.AAPL270617C300,36.37,7,25459.0,sell,297.9463,0.5570056639070097,0.004189959200771803,116.81382686416694,-18.96053552296178,
2026-06-24T16:21:55.541000,.SLV260918C70,0.88,605,53240.0,sell,53.0586,0.1480424114465798,0.01825081123456788,5.951223779626504,-6.199989628682146,
2026-06-24T16:21:55.573000,.SLV270319P55,7.98,34,27132.0,buy,53.0586,-0.4804679324202402,0.023095518646296893,18.10134316211237,-4.678758294337149,
2026-06-24T16:21:55.837000,.WYY261120C15,6.8,47,31960.0,buy,17.295,0.7185021671607037,0.024214592237895346,3.7273480659947325,-5.7539100631342555,
2026-06-24T16:21:55.987000,.MU260702C1100,56.07,5,28035.0,sell,1045.132,0.43309599647714014,0.0020044412765057597,61.55865811020703,-1727.805907567662,
2026-06-24T16:21:55.987000,.MU260702P1085,99.27,5,49635.0,sell,1045.132,-0.5463869147602024,0.0020545550132547324,61.828040635612936,-1710.255429504915,
2026-06-24T16:21:55.987000,.MU260702C1095,57.84,5,28920.0,buy,1045.132,0.4349542990055312,0.002005184521534423,61.372870870580286,-1729.3508312953988,
2026-06-24T16:21:55.987000,.MU260702P1090,102.4,5,51200.0,buy,1045.132,-0.5591931494644584,0.0020684065199268104,61.51553793890355,-1684.295649398674,
2026-06-24T16:21:56.622000,.ASTS260717C75,5.01,58,29058.0,buy,69.865,0.43893337568167795,0.02229313223765186,6.9372778292026185,-54.96080194133468,
2026-06-24T16:21:56.622000,.ASTS260717P75,9.95,58,57710.0,sell,69.865,-0.5651670186727488,0.022830236929043204,6.925814949592962,-53.49058233379713,
2026-06-24T16:21:56.705000,.RKLB260717C100,3.4,80,27200.0,sell,87.3696,0.30842624757043113,0.0182350776045728,7.746559051403063,-53.56206603908135,
2026-06-24T16:21:56.775000,.CLS270820C360,140.0,3,42000.0,buy,371.6,0.6947898569659339,0.000984447404615275,139.42751951635256,-53.91306577229866,
2026-06-24T16:21:58.134000,.KLAC270115C250,51.25,10,51250.0,sell,241.1929,0.734589611996448,0.0010387167649690895,59.245282214603364,-92.00696233618403,
2026-06-24T16:21:58.396000,.GEV260821C1110,77.2,6,46320.0,sell,1068.8258,0.4766886943828856,0.001653071813974686,169.76569350093496,-301.11760741798037,
2026-06-24T16:21:58.556000,.GEV260821C1110,77.26,6,46356.0,sell,1068.8258,0.4766886943828856,0.001653071813974686,169.76569350093496,-301.11760741798037,
2026-06-24T16:21:59.509000,.SLV270319P55,7.97,37,29489.0,buy,53.0586,-0.4804679324202402,0.023095518646296893,18.10134316211237,-4.678758294337149,
2026-06-24T16:22:00.071000,.SMH260918P450,10.4,71,73840.0,buy,622.105,-0.10542467985401138,0.001000928873819662,55.10613222739193,-70.3857277441518,
2026-06-24T16:22:36.486000,.MU281215C2420,358.0,10,358000.0,buy,1045.7529,0.5618721652363174,0.000258281352781427,647.944152981403,-121.25967820686536,
2026-06-24T16:22:36.505000,.MRVL260821C300,30.35,10,30350.0,buy,271.8075,0.47241173011406373,0.003867047866303063,43.21978422826543,-128.5471942158828,
2026-06-24T16:22:36.557000,.DRAM260626P66,1.46,800,116800.0,sell,69.9104,-0.2838897379157962,0.043036863646460456,1.819765857474456,-226.29344485003608,
2026-06-24T16:22:36.557000,.DRAM260626P60,0.4,800,32000.0,sell,69.9104,-0.09897159544012069,0.019898892627993135,0.9353553234130724,-129.30219542319438,
2026-06-24T16:22:36.799000,.NDXP260930P29600,1487.9,1,148790.0,sell,29460.6127,-0.45258831041273606,9.84988677186307e-05,6122.805002654913,-2962.0357771285576,
2026-06-24T16:22:37.472000,.SMH260918P500,18.25,73,133225.0,buy,622.3901,-0.17477481021017216,0.0015116789753185122,77.85907051724611,-92.96337135080985,
2026-06-24T16:22:37.475000,.SMH260918P500,18.2,62,112840.0,buy,622.3901,-0.17477481021017216,0.0015116789753185122,77.85907051724611,-92.96337135080985,
2026-06-24T16:22:37.629000,.COIN280121P75,12.77,20,25540.0,buy,152.125,-0.1113789351155765,0.0013081159964343904,36.28287063011351,-8.715288210824115,
2026-06-24T16:22:38.012000,.MU260702P1050,78.18,11,85998.0,buy,1045.7529,-0.47776991458978024,0.002069816093619912,62.09432698638549,-1715.5460057119722,
2026-06-24T16:22:38.012000,.MU260702P1050,78.18,14,109452.0,buy,1045.7529,-0.47776991458978024,0.002069816093619912,62.09432698638549,-1715.5460057119722,
2026-06-24T16:22:38.012000,.MU260626P1050,58.93,14,82502.0,sell,1045.7529,-0.4794774379748423,0.002735801675661748,32.04040385920649,-4920.700708907259,
